"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Barbados","BRB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6866.70361125347","6823.63047859393","6704.13415645413","6971.47565652616","7313.35981747594","7550.17905266619","8012.35201130273","8443.87195382468","9515.08622336783","9866.84522099163","10143.3355203641","10070.4214884489","10186.91102285","10465.6954326819","11067.6410613299","12077.4765539595","12896.5637523934","13843.199694688","13945.3546292456","13526.9652665945","13796.1807868345","13598.2582682006","13943.507535913","13827.8598822316","13770.259779087","13618.1664182409","13396.9264709239","","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9143.77491878949","9537.79803691644","10841.3309419797","11972.2693809726","11425.7143442869","11154.2398560342","12562.2542410994","13181.9097938938","13205.8129968538","10518.1760616774","11146.0509645699","12758.7804695186","12328.9126463781","13121.451961621","14237.7672769293","16314.5043218989","18309.941816579","21457.7602752739","24708.0722440971","28210.6620306538","22196.8994508377","26986.3110929407","32317.717574012","33825.0095627663","33921.8858546878","32949.5500063745","27860.1361791001","24809.2078571726","","",
"Bhutan","BTN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","228.157884617701","235.334842762744","217.753166847049","232.536592385817","262.408251506579","264.671792282678","298.62474106124","384.254419103558","434.919987732634","436.453099042193","467.672120367903","374.488179057165","365.533616193569","355.83208506752","433.880060721804","455.187238156121","478.607894312797","566.019732917495","524.804167452871","549.737685504645","691.764812229458","734.715488188049","797.157297076669","884.704050656031","974.294645907371","1119.24556484726","1204.10824078678","1537.66160282675","1561.28300994241","1521.71751606931","1819.06235456092","2045.17763316355","1991.57743445524","1963.03964511939","2090.2994494158","2111.90813889542","2199.24568871298","","",
"Botswana","BWA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","851.303737834971","916.777651737575","827.278548901699","867.697324815268","846.042268822206","743.730660078751","911.993312995623","1184.09880992416","1573.04160095456","1776.18143791213","2322.67925162923","2453.39840642814","2538.38387094127","2594.17325402517","2249.80090491096","2556.12758279167","2444.386325826","2586.38133191664","2591.83502210024","2710.41476876967","2756.20648015584","2727.03847695298","2312.12341760943","2977.45935082425","3401.09710160219","3879.61373076955","3761.71316634512","3977.02392655179","3927.3378424112","3590.18183342715","4584.7253071248","5998.1708658759","5477.95109952688","5266.12367810014","5683.7620882294","5054.85656707917","5319.26891430101","","",
"Central African Republic","CAF","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","307.458936105965","265.923089597563","274.783790569583","231.476032774564","221.255863628809","297.171556859695","374.442192301484","384.412638081168","398.496695866127","384.105137723802","441.593585336171","412.658135398647","412.176476652672","362.166243994358","235.720120473568","303.377199386772","263.676435484837","242.734971916349","245.669089781365","251.079516790385","223.695441559037","224.977054029785","234.556573301588","266.18842706077","289.811861556864","301.265800172215","322.833775108424","366.69221850925","416.411272106589","409.352256938818","405.918856940368","444.829781849474","427.936638913722","275.792659034919","313.527449916884","281.764389180876","299.127051112758","","",
"Canada","CAN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","3399.29903673206","3768.29793483244","4251.17548427553","4804.46324779753","5576.51458265502","5998.14434586471","7062.13139235356","7100.12616971109","7247.96703520053","7602.91268106158","8355.96811956793","9434.39065171739","9619.43837667654","10416.536589104","10790.3287235842","11018.9558512675","11482.8915301438","12974.8066248789","15080.2834528698","16426.725476342","16838.6732017943","17266.0976851618","16412.0830853254","15875.5867304346","15755.8202695619","16369.3172463836","16699.8266848622","17310.7577494758","16622.6718651565","17581.0241398529","18987.3824067023","18601.3972431723","19232.1755604094","22739.4262762884","25719.1471533656","29198.0556869213","32738.262896466","36144.4812242571","37446.4860874172","32755.1768182829","38420.5228895297","42334.7112061001","42665.2559690068","42676.4683734576","41039.8935954225","35175.1889821638","34229.1936284215","","",
"Central Europe and the Baltics","CEB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1859.77268596594","2235.26570502583","2798.84172883102","3010.63119407224","3002.45746908806","3313.82561030969","3190.19953703054","3189.08443938127","3514.12712985285","3974.41313626464","4747.7926083067","5680.46554141539","6715.02805197108","7581.69495494602","9545.24672403249","11710.7769516388","9814.74591277431","10046.1913081261","11074.2384336437","10424.0825276025","11032.9282674811","11443.0799100457","9999.404994545","10143.0967990412","","",
"Switzerland","CHE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","16104.767231588","14799.7223331079","14889.7609438566","14762.7239110958","14198.5052735043","14210.3394270749","20006.8555633553","24601.5094044724","26451.4569723655","24863.1816879216","31039.5459718714","30926.8665222596","31653.6499644509","30841.1657852289","33736.2320697743","39974.4311441312","38566.9664094749","34286.3971749913","35411.834448687","34727.7070216126","32689.6895354115","32046.6008293522","33646.8322029874","40810.5941395689","45285.4422464263","47966.2816381922","49969.1684602832","50933.3376076949","52736.5580339086","56190.2597256031","63545.1998038433","71216.5890703741","68151.6080272089","69239.9992736864","68975.1892879564","66815.6884983083","63377.6259458121","","",
"Channel Islands","CHI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","811.429682763028","979.394240956467","1060.96479260615","1428.92958555779","1301.931671896","557.595881255894","761.435207849583","1065.82298690923","1210.13820879764","1630.89693090084","2156.61015907245","2548.37344814234","1732.07569766727","1312.31120593877","1224.44308243547","1003.2586534406","1096.02928461804","1305.12214361562","1481.25465645975","1668.27873423479","1882.57175034504","2159.46841433455","2656.20251299668","2868.26008473489","3223.21761797562","4108.21011343478","4303.54559801443","4646.47694330541","4511.62452706066","4000.47518721088","4026.4990905782","3688.87630334576","3586.72590898297","3708.42978483489","4501.59326606531","5456.77896853271","6030.12868306118","6822.99957535879","7468.45410735471","7428.57104895581","9191.85750853851","10635.1593563059","11484.2094788744","12058.7919183582","11349.8298912517","10725.5866392518","10860.1544285478","","",
"China","CHN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","110.325972286624","115.413689884881","127.885977045483","151.902691856159","151.548027246567","166.264762520014","152.017110188515","169.681952009866","141.479255204459","158.283863085315","164.041693183547","166.619610988435","177.240881482198","200.878184728776","226.507933866038","251.434396131056","245.569424173342","217.571190272851","248.495387805385","269.396866162552","271.262856575134","290.532668286835","322.621124125287","328.855834358308","433.576759131761","548.587241857478","634.784962926107","700.855973932221","735.834273647097","771.42994530217","836.831833720214","915.087456426324","1006.27861273683","1128.2683450529","1298.87009660884","1488.33961428797","1772.99462895532","2256.34312307634","2809.23788395299","3192.41918705728","3670.49174005079","4382.44355514242","5007.50247640589","5520.33425209349","6064.1200726239","6352.62632715766","6309.00158417283","","",
"Cote d'Ivoire","CIV","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","264.41427188158","296.87746700394","381.512387888806","451.814973365262","539.645843647447","617.316686617329","791.454169036443","930.672155038011","1002.47312066589","1061.72205766348","818.568907828175","703.494971876434","583.751256792814","583.471824023707","558.881489759822","734.832450256753","767.679502432177","754.069113814398","659.384791116483","697.933360692255","669.472903656042","698.706634432988","666.598494982342","501.403395091931","650.070394946145","704.838586640202","674.446076059864","721.212364758169","684.948369245476","547.989381234146","553.525519484888","590.772795404594","696.434671018224","771.500872191417","830.160309658686","829.933123381086","946.052481483632","1100.60270203813","1104.2232490886","1102.77322026141","1073.39601703543","1135.53435952178","1280.71433337683","1457.57337626243","1320.05052774319","1406.3112465781","","",
"Cameroon","CMR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","159.311010284124","180.152850940242","196.706924245218","244.496095020958","296.076240133372","322.26505658689","294.828770629923","455.777807437354","563.855006106416","519.55394788077","646.767507094963","655.917479779755","640.073467705248","646.261302567271","664.246746468019","925.735161207379","1001.81436970873","1011.70459716974","830.841718982776","772.295176833811","852.24132976238","757.649378156662","1029.11462632249","669.063623313563","591.726153641773","618.060205489244","618.907888715764","615.704381247355","625.386722808158","513.642785549484","524.866122953465","578.954341242597","734.537357775583","861.496532442713","843.137458693274","890.681548730863","986.679081416011","1109.90038650556","1132.43822769232","1083.68418522189","1166.2973246434","1112.60590406438","1206.35520466038","1299.66155540626","1141.00077693389","1147.99018160506","","",
